genre_key,track_genre
1,Acoustic
2,Afrobeat
3,Alt Rock
4,Alternative
5,Ambient
6,Anime
7,Black Metal
8,Bluegrass
9,Blues
10,Brazil
11,Breakbeat
12,British
13,Cantopop
14,Chicago House
15,Children
16,Chill
17,Classical
18,Club
19,Comedy
20,Country
21,Dance
22,Dancehall
23,Death Metal
24,Deep House
25,Detroit Techno
26,Disco
27,Disney
28,Drum And Bass
29,Dub
30,Dubstep
31,Edm
32,Electro
33,Electronic
34,Emo
35,Folk
36,Forro
37,French
38,Funk
39,Garage
40,German
41,Gospel
42,Goth
43,Grindcore
44,Groove
45,Grunge
46,Guitar
47,Happy
48,Hard Rock
49,Hardcore
50,Hardstyle
51,Heavy Metal
52,Hip Hop
53,Honky Tonk
54,House
55,Idm
56,Indian
57,Indie Pop
58,Indie
59,Industrial
60,Iranian
61,J Dance
62,J Idol
63,J Pop
64,J Rock
65,Jazz
66,K Pop
67,Kids
68,Latin
69,Latino
70,Malay
71,Mandopop
72,Metal
73,Metalcore
74,Minimal Techno
75,Mpb
76,New Age
77,Opera
78,Pagode
79,Party
80,Piano
81,Pop Film
82,Pop
83,Power Pop
84,Progressive House
85,Psych Rock
86,Punk Rock
87,Punk
88,R N B
89,Reggae
90,Reggaeton
91,Rock N Roll
92,Rock
93,Rockabilly
94,Romance
95,Sad
96,Salsa
97,Samba
98,Sertanejo
99,Show Tunes
100,Singer Songwriter
101,Ska
102,Sleep
103,Songwriter
104,Soul
105,Spanish
106,Study
107,Swedish
108,Synth Pop
109,Tango
110,Techno
111,Trance
112,Trip Hop
113,Turkish
114,World Music
